editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
67.391304,15.217391,0,13.043478,4.347826,0,NO
41.509434,43.396226,0,15.09434,0,0,NO
59.52381,30.952381,0,9.52381,0,0,NO
84.375,0,0,0,15.625,0,NO
86,0,0,0,14,0,NO
27.272727,47.272727,0,21.818182,3.636364,0,NO
60.714286,21.428571,0,10.714286,7.142857,0,NO
82.051282,0,2.564103,5.128205,10.25641,0,NO
72.5,0,5,10,12.5,0,NO
100,0,0,0,0,0,NO
78.947368,0,2.631579,0,18.421053,0,NO
96.774194,0,3.225806,0,0,0,NO
50,18.75,0,4.166667,27.083333,0,NO
46.938776,28.571429,0,8.163265,16.326531,0,NO
92.307692,0,5.128205,0,2.564103,0,NO
63.043478,10.869565,0,0,26.086957,0,NO
26,48,0,16,10,0,NO
30,40,4,22,4,0,NO
40,35.555556,0,15.555556,8.888889,1,NO
55.263158,0,5.263158,21.052632,18.421053,0,NO
54,18,2,8,18,0,NO
76.923077,0,0,0,23.076923,0,NO
88.571429,0,5.714286,0,5.714286,0,NO
70.27027,0,5.405405,0,24.324324,0,NO
34.883721,37.209302,0,13.953488,13.953488,0,NO
81.081081,5.405405,2.702703,5.405405,5.405405,0,NO
96.428571,0,0,0,3.571429,0,NO
60.714286,0,0,0,39.285714,0,NO
92,0,0,0,8,0,NO
68.571429,5.714286,2.857143,5.714286,17.142857,0,NO
74.193548,0,0,12.903226,12.903226,0,NO
85.294118,0,2.941176,5.882353,5.882353,0,NO
79.166667,0,0,0,20.833333,0,NO
72.5,17.5,5,5,0,0,NO
57.142857,0,0,33.333333,9.52381,0,NO
69.230769,7.692308,0,15.384615,7.692308,0,NO
87.5,0,0,0,12.5,0,NO
83.333333,0,0,0,16.666667,0,NO
84.375,0,0,0,15.625,0,NO
84,0,0,0,16,0,NO
68.421053,0,0,0,31.578947,0,NO
55.555556,0,0,0,44.444444,0,NO
86.666667,0,0,0,13.333333,0,NO
84,0,0,0,16,0,NO
83.783784,0,0,0,16.216216,0,NO
44.897959,32.653061,0,8.163265,14.285714,0,NO
41.176471,35.294118,3.921569,11.764706,7.843137,0,NO
97.560976,0,0,0,2.439024,0,NO
97.058824,0,2.941176,0,0,0,NO
90.243902,0,0,0,9.756098,0,NO
69.565217,0,2.173913,8.695652,19.565217,0,NO
46.153846,34.615385,7.692308,7.692308,3.846154,0,NO
14.035088,45.614035,0,29.824561,10.526316,0,NO
50.980392,19.607843,0,9.803922,19.607843,0,NO
92.857143,0,0,0,7.142857,0,NO
100,0,0,0,0,0,NO
